tag_trecho,letra,topico_id,topicos_temas,classificado_positivo
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",3,"Intimidade, desejo e sedução",0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",8,Ostentação e consumismo,0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",6,"Perdas, arrependimento e vulnerabilidade",0
musica4_trecho1,Será que alguém explica a nossa relação?,1,Amor e relações amorosas,1
musica4_trecho1,Será que alguém explica a nossa relação?,4,"Conhecimento, esperança e expectativa",0
musica4_trecho1,Será que alguém explica a nossa relação?,5,"Crescimento, consquita e pertencimento",0
musica4_trecho1,Será que alguém explica a nossa relação?,9,"Despedidas, morte e fragilidade",1
musica4_trecho1,Será que alguém explica a nossa relação?,7,"Infidelidade, tristeza e sofrimento",0
musica4_trecho1,Será que alguém explica a nossa relação?,2,"Inspiração, paz e harmonia",0
musica4_trecho1,Será que alguém explica a nossa relação?,3,"Intimidade, desejo e sedução",0
musica4_trecho1,Será que alguém explica a nossa relação?,8,Ostentação e consumismo,0
musica4_trecho1,Será que alguém explica a nossa relação?,6,"Perdas, arrependimento e vulnerabilidade",0
musica5_trecho1,Agora pronto,1,Amor e relações amorosas,0
musica5_trecho1,Agora pronto,4,"Conhecimento, esperança e expectativa",0
musica5_trecho1,Agora pronto,5,"Crescimento, consquita e pertencimento",1
musica5_trecho1,Agora pronto,9,"Despedidas, morte e fragilidade",1
musica5_trecho1,Agora pronto,7,"Infidelidade, tristeza e sofrimento",0
musica5_trecho1,Agora pronto,2,"Inspiração, paz e harmonia",0
musica5_trecho1,Agora pronto,3,"Intimidade, desejo e sedução",0
musica5_trecho1,Agora pronto,8,Ostentação e consumismo,0
musica5_trecho1,Agora pronto,6,"Perdas, arrependimento e vulnerabilidade",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",1,Amor e relações amorosas,0
musica6_trecho1,"Troquei de lençol, troquei de colchão",4,"Conhecimento, esperança e expectativa",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",5,"Crescimento, consquita e pertencimento",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",9,"Despedidas, morte e fragilidade",1
musica6_trecho1,"Troquei de lençol, troquei de colchão",7,"Infidelidade, tristeza e sofrimento",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",2,"Inspiração, paz e harmonia",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",3,"Intimidade, desejo e sedução",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",8,Ostentação e consumismo,0
musica6_trecho1,"Troquei de lençol, troquei de colchão",6,"Perdas, arrependimento e vulnerabilidade",1
musica7_trecho1,Se quer saber de mim,1,Amor e relações amorosas,1
musica7_trecho1,Se quer saber de mim,4,"Conhecimento, esperança e expectativa",0
musica7_trecho1,Se quer saber de mim,5,"Crescimento, consquita e pertencimento",0
musica7_trecho1,Se quer saber de mim,9,"Despedidas, morte e fragilidade",0
musica7_trecho1,Se quer saber de mim,7,"Infidelidade, tristeza e sofrimento",0
musica7_trecho1,Se quer saber de mim,2,"Inspiração, paz e harmonia",0
musica7_trecho1,Se quer saber de mim,3,"Intimidade, desejo e sedução",1
musica7_trecho1,Se quer saber de mim,8,Ostentação e consumismo,0
musica7_trecho1,Se quer saber de mim,6,"Perdas, arrependimento e vulnerabilidade",0
musica8_trecho1,Joga uma taça no chão e pede desculpa,1,Amor e relações amorosas,0
musica8_trecho1,Joga uma taça no chão e pede desculpa,4,"Conhecimento, esperança e expectativa",0
musica8_trecho1,Joga uma taça no chão e pede desculpa,5,"Crescimento, consquita e pertencimento",0
musica8_trecho1,Joga uma taça no chão e pede desculpa,9,"Despedidas, morte e fragilidade",1
musica8_trecho1,Joga uma taça no chão e pede desculpa,7,"Infidelidade, tristeza e sofrimento",1
musica8_trecho1,Joga uma taça no chão e pede desculpa,2,"Inspiração, paz e harmonia",0
musica8_trecho1,Joga uma taça no chão e pede desculpa,3,"Intimidade, desejo e sedução",0
musica8_trecho1,Joga uma taça no chão e pede desculpa,8,Ostentação e consumismo,0
musica8_trecho1,Joga uma taça no chão e pede desculpa,6,"Perdas, arrependimento e vulnerabilidade",0
musica9_trecho1,(Cê foi embora pra ser o quê?,1,Amor e relações amorosas,0
musica9_trecho1,(Cê foi embora pra ser o quê?,4,"Conhecimento, esperança e expectativa",0
musica9_trecho1,(Cê foi embora pra ser o quê?,5,"Crescimento, consquita e pertencimento",0
musica9_trecho1,(Cê foi embora pra ser o quê?,9,"Despedidas, morte e fragilidade",1
musica9_trecho1,(Cê foi embora pra ser o quê?,7,"Infidelidade, tristeza e sofrimento",1
musica9_trecho1,(Cê foi embora pra ser o quê?,2,"Inspiração, paz e harmonia",0
musica9_trecho1,(Cê foi embora pra ser o quê?,3,"Intimidade, desejo e sedução",0
musica9_trecho1,(Cê foi embora pra ser o quê?,8,Ostentação e consumismo,0
musica9_trecho1,(Cê foi embora pra ser o quê?,6,"Perdas, arrependimento e vulnerabilidade",0
musica10_trecho1,"Respira, não pira",1,Amor e relações amorosas,0
musica10_trecho1,"Respira, não pira",4,"Conhecimento, esperança e expectativa",0
musica10_trecho1,"Respira, não pira",5,"Crescimento, consquita e pertencimento",0
musica10_trecho1,"Respira, não pira",9,"Despedidas, morte e fragilidade",1
musica10_trecho1,"Respira, não pira",7,"Infidelidade, tristeza e sofrimento",0
musica10_trecho1,"Respira, não pira",2,"Inspiração, paz e harmonia",0
musica10_trecho1,"Respira, não pira",3,"Intimidade, desejo e sedução",1
musica10_trecho1,"Respira, não pira",8,Ostentação e consumismo,0
musica10_trecho1,"Respira, não pira",6,"Perdas, arrependimento e vulnerabilidade",0
musica1_trecho1,Não se diminua pra caber num coração,1,Amor e relações amorosas,1
musica1_trecho1,Não se diminua pra caber num coração,4,"Conhecimento, esperança e expectativa",0
musica1_trecho1,Não se diminua pra caber num coração,5,"Crescimento, consquita e pertencimento",0
musica1_trecho1,Não se diminua pra caber num coração,9,"Despedidas, morte e fragilidade",1
musica1_trecho1,Não se diminua pra caber num coração,7,"Infidelidade, tristeza e sofrimento",0
musica1_trecho1,Não se diminua pra caber num coração,2,"Inspiração, paz e harmonia",0
musica1_trecho1,Não se diminua pra caber num coração,3,"Intimidade, desejo e sedução",0
musica1_trecho1,Não se diminua pra caber num coração,8,Ostentação e consumismo,0
musica1_trecho1,Não se diminua pra caber num coração,6,"Perdas, arrependimento e vulnerabilidade",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",1,Amor e relações amorosas,1
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",4,"Conhecimento, esperança e expectativa",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",5,"Crescimento, consquita e pertencimento",1
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",9,"Despedidas, morte e fragilidade",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",7,"Infidelidade, tristeza e sofrimento",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",2,"Inspiração, paz e harmonia",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",3,"Intimidade, desejo e sedução",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",8,Ostentação e consumismo,0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",6,"Perdas, arrependimento e vulnerabilidade",0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",1,Amor e relações amorosas,0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",4,"Conhecimento, esperança e expectativa",1
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",5,"Crescimento, consquita e pertencimento",0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",9,"Despedidas, morte e fragilidade",1
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",7,"Infidelidade, tristeza e sofrimento",0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",2,"Inspiração, paz e harmonia",0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",3,"Intimidade, desejo e sedução",0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",8,Ostentação e consumismo,0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",6,"Perdas, arrependimento e vulnerabilidade",0
musica4_trecho1,Será que alguém explica a nossa relação?,1,Amor e relações amorosas,1
musica4_trecho1,Será que alguém explica a nossa relação?,4,"Conhecimento, esperança e expectativa",0
musica4_trecho1,Será que alguém explica a nossa relação?,5,"Crescimento, consquita e pertencimento",0
musica4_trecho1,Será que alguém explica a nossa relação?,9,"Despedidas, morte e fragilidade",1
musica4_trecho1,Será que alguém explica a nossa relação?,7,"Infidelidade, tristeza e sofrimento",0
musica4_trecho1,Será que alguém explica a nossa relação?,2,"Inspiração, paz e harmonia",0
musica4_trecho1,Será que alguém explica a nossa relação?,3,"Intimidade, desejo e sedução",0
musica4_trecho1,Será que alguém explica a nossa relação?,8,Ostentação e consumismo,0
musica4_trecho1,Será que alguém explica a nossa relação?,6,"Perdas, arrependimento e vulnerabilidade",0
musica5_trecho1,Agora pronto,1,Amor e relações amorosas,0
musica5_trecho1,Agora pronto,4,"Conhecimento, esperança e expectativa",0
musica5_trecho1,Agora pronto,5,"Crescimento, consquita e pertencimento",1
musica5_trecho1,Agora pronto,9,"Despedidas, morte e fragilidade",1
musica5_trecho1,Agora pronto,7,"Infidelidade, tristeza e sofrimento",0
musica5_trecho1,Agora pronto,2,"Inspiração, paz e harmonia",0
musica5_trecho1,Agora pronto,3,"Intimidade, desejo e sedução",0
musica5_trecho1,Agora pronto,8,Ostentação e consumismo,0
musica5_trecho1,Agora pronto,6,"Perdas, arrependimento e vulnerabilidade",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",1,Amor e relações amorosas,0
musica6_trecho1,"Troquei de lençol, troquei de colchão",4,"Conhecimento, esperança e expectativa",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",5,"Crescimento, consquita e pertencimento",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",9,"Despedidas, morte e fragilidade",1
musica6_trecho1,"Troquei de lençol, troquei de colchão",7,"Infidelidade, tristeza e sofrimento",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",2,"Inspiração, paz e harmonia",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",3,"Intimidade, desejo e sedução",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",8,Ostentação e consumismo,0
musica6_trecho1,"Troquei de lençol, troquei de colchão",6,"Perdas, arrependimento e vulnerabilidade",1
musica7_trecho1,Se quer saber de mim,1,Amor e relações amorosas,1
musica7_trecho1,Se quer saber de mim,4,"Conhecimento, esperança e expectativa",0
musica7_trecho1,Se quer saber de mim,5,"Crescimento, consquita e pertencimento",0
musica7_trecho1,Se quer saber de mim,9,"Despedidas, morte e fragilidade",0
musica7_trecho1,Se quer saber de mim,7,"Infidelidade, tristeza e sofrimento",0
musica7_trecho1,Se quer saber de mim,2,"Inspiração, paz e harmonia",0
musica7_trecho1,Se quer saber de mim,3,"Intimidade, desejo e sedução",1
musica7_trecho1,Se quer saber de mim,8,Ostentação e consumismo,0
musica7_trecho1,Se quer saber de mim,6,"Perdas, arrependimento e vulnerabilidade",0
musica8_trecho1,Joga uma taça no chão e pede desculpa,1,Amor e relações amorosas,0
musica8_trecho1,Joga uma taça no chão e pede desculpa,4,"Conhecimento, esperança e expectativa",0
musica8_trecho1,Joga uma taça no chão e pede desculpa,5,"Crescimento, consquita e pertencimento",0
musica8_trecho1,Joga uma taça no chão e pede desculpa,9,"Despedidas, morte e fragilidade",1
musica8_trecho1,Joga uma taça no chão e pede desculpa,7,"Infidelidade, tristeza e sofrimento",1
musica8_trecho1,Joga uma taça no chão e pede desculpa,2,"Inspiração, paz e harmonia",0
musica8_trecho1,Joga uma taça no chão e pede desculpa,3,"Intimidade, desejo e sedução",0
musica8_trecho1,Joga uma taça no chão e pede desculpa,8,Ostentação e consumismo,0
musica8_trecho1,Joga uma taça no chão e pede desculpa,6,"Perdas, arrependimento e vulnerabilidade",0
musica9_trecho1,(Cê foi embora pra ser o quê?,1,Amor e relações amorosas,0
musica9_trecho1,(Cê foi embora pra ser o quê?,4,"Conhecimento, esperança e expectativa",0
musica9_trecho1,(Cê foi embora pra ser o quê?,5,"Crescimento, consquita e pertencimento",0
musica9_trecho1,(Cê foi embora pra ser o quê?,9,"Despedidas, morte e fragilidade",1
musica9_trecho1,(Cê foi embora pra ser o quê?,7,"Infidelidade, tristeza e sofrimento",1
musica9_trecho1,(Cê foi embora pra ser o quê?,2,"Inspiração, paz e harmonia",0
musica9_trecho1,(Cê foi embora pra ser o quê?,3,"Intimidade, desejo e sedução",0
musica9_trecho1,(Cê foi embora pra ser o quê?,8,Ostentação e consumismo,0
musica9_trecho1,(Cê foi embora pra ser o quê?,6,"Perdas, arrependimento e vulnerabilidade",0
musica10_trecho1,"Respira, não pira",1,Amor e relações amorosas,0
musica10_trecho1,"Respira, não pira",4,"Conhecimento, esperança e expectativa",0
musica10_trecho1,"Respira, não pira",5,"Crescimento, consquita e pertencimento",0
musica10_trecho1,"Respira, não pira",9,"Despedidas, morte e fragilidade",1
musica10_trecho1,"Respira, não pira",7,"Infidelidade, tristeza e sofrimento",0
musica10_trecho1,"Respira, não pira",2,"Inspiração, paz e harmonia",0
musica10_trecho1,"Respira, não pira",3,"Intimidade, desejo e sedução",1
musica10_trecho1,"Respira, não pira",8,Ostentação e consumismo,0
musica10_trecho1,"Respira, não pira",6,"Perdas, arrependimento e vulnerabilidade",0
musica1_trecho1,Não se diminua pra caber num coração,1,Amor e relações amorosas,1
musica1_trecho1,Não se diminua pra caber num coração,4,"Conhecimento, esperança e expectativa",0
musica1_trecho1,Não se diminua pra caber num coração,5,"Crescimento, consquita e pertencimento",0
musica1_trecho1,Não se diminua pra caber num coração,9,"Despedidas, morte e fragilidade",1
musica1_trecho1,Não se diminua pra caber num coração,7,"Infidelidade, tristeza e sofrimento",0
musica1_trecho1,Não se diminua pra caber num coração,2,"Inspiração, paz e harmonia",0
musica1_trecho1,Não se diminua pra caber num coração,3,"Intimidade, desejo e sedução",0
musica1_trecho1,Não se diminua pra caber num coração,8,Ostentação e consumismo,0
musica1_trecho1,Não se diminua pra caber num coração,6,"Perdas, arrependimento e vulnerabilidade",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",1,Amor e relações amorosas,1
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",4,"Conhecimento, esperança e expectativa",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",5,"Crescimento, consquita e pertencimento",1
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",9,"Despedidas, morte e fragilidade",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",7,"Infidelidade, tristeza e sofrimento",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",2,"Inspiração, paz e harmonia",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",3,"Intimidade, desejo e sedução",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",8,Ostentação e consumismo,0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",6,"Perdas, arrependimento e vulnerabilidade",0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",1,Amor e relações amorosas,0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",4,"Conhecimento, esperança e expectativa",1
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",5,"Crescimento, consquita e pertencimento",0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",9,"Despedidas, morte e fragilidade",1
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",7,"Infidelidade, tristeza e sofrimento",0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",2,"Inspiração, paz e harmonia",0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",3,"Intimidade, desejo e sedução",0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",8,Ostentação e consumismo,0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",6,"Perdas, arrependimento e vulnerabilidade",0
musica4_trecho1,Será que alguém explica a nossa relação?,1,Amor e relações amorosas,1
musica4_trecho1,Será que alguém explica a nossa relação?,4,"Conhecimento, esperança e expectativa",0
musica4_trecho1,Será que alguém explica a nossa relação?,5,"Crescimento, consquita e pertencimento",0
musica4_trecho1,Será que alguém explica a nossa relação?,9,"Despedidas, morte e fragilidade",1
musica4_trecho1,Será que alguém explica a nossa relação?,7,"Infidelidade, tristeza e sofrimento",0
musica4_trecho1,Será que alguém explica a nossa relação?,2,"Inspiração, paz e harmonia",0
musica4_trecho1,Será que alguém explica a nossa relação?,3,"Intimidade, desejo e sedução",0
musica4_trecho1,Será que alguém explica a nossa relação?,8,Ostentação e consumismo,0
musica4_trecho1,Será que alguém explica a nossa relação?,6,"Perdas, arrependimento e vulnerabilidade",0
musica5_trecho1,Agora pronto,1,Amor e relações amorosas,0
musica5_trecho1,Agora pronto,4,"Conhecimento, esperança e expectativa",0
musica5_trecho1,Agora pronto,5,"Crescimento, consquita e pertencimento",1
musica5_trecho1,Agora pronto,9,"Despedidas, morte e fragilidade",1
musica5_trecho1,Agora pronto,7,"Infidelidade, tristeza e sofrimento",0
musica5_trecho1,Agora pronto,2,"Inspiração, paz e harmonia",0
musica5_trecho1,Agora pronto,3,"Intimidade, desejo e sedução",0
musica5_trecho1,Agora pronto,8,Ostentação e consumismo,0
musica5_trecho1,Agora pronto,6,"Perdas, arrependimento e vulnerabilidade",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",1,Amor e relações amorosas,0
musica6_trecho1,"Troquei de lençol, troquei de colchão",4,"Conhecimento, esperança e expectativa",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",5,"Crescimento, consquita e pertencimento",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",9,"Despedidas, morte e fragilidade",1
musica6_trecho1,"Troquei de lençol, troquei de colchão",7,"Infidelidade, tristeza e sofrimento",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",2,"Inspiração, paz e harmonia",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",3,"Intimidade, desejo e sedução",0
musica6_trecho1,"Troquei de lençol, troquei de colchão",8,Ostentação e consumismo,0
musica6_trecho1,"Troquei de lençol, troquei de colchão",6,"Perdas, arrependimento e vulnerabilidade",1
musica7_trecho1,Se quer saber de mim,1,Amor e relações amorosas,1
musica7_trecho1,Se quer saber de mim,4,"Conhecimento, esperança e expectativa",0
musica7_trecho1,Se quer saber de mim,5,"Crescimento, consquita e pertencimento",0
musica7_trecho1,Se quer saber de mim,9,"Despedidas, morte e fragilidade",0
musica7_trecho1,Se quer saber de mim,7,"Infidelidade, tristeza e sofrimento",0
musica7_trecho1,Se quer saber de mim,2,"Inspiração, paz e harmonia",0
musica7_trecho1,Se quer saber de mim,3,"Intimidade, desejo e sedução",1
musica7_trecho1,Se quer saber de mim,8,Ostentação e consumismo,0
musica7_trecho1,Se quer saber de mim,6,"Perdas, arrependimento e vulnerabilidade",0
musica8_trecho1,Joga uma taça no chão e pede desculpa,1,Amor e relações amorosas,0
musica8_trecho1,Joga uma taça no chão e pede desculpa,4,"Conhecimento, esperança e expectativa",0
musica8_trecho1,Joga uma taça no chão e pede desculpa,5,"Crescimento, consquita e pertencimento",0
musica8_trecho1,Joga uma taça no chão e pede desculpa,9,"Despedidas, morte e fragilidade",1
musica8_trecho1,Joga uma taça no chão e pede desculpa,7,"Infidelidade, tristeza e sofrimento",1
musica8_trecho1,Joga uma taça no chão e pede desculpa,2,"Inspiração, paz e harmonia",0
musica8_trecho1,Joga uma taça no chão e pede desculpa,3,"Intimidade, desejo e sedução",0
musica8_trecho1,Joga uma taça no chão e pede desculpa,8,Ostentação e consumismo,0
musica8_trecho1,Joga uma taça no chão e pede desculpa,6,"Perdas, arrependimento e vulnerabilidade",0
musica9_trecho1,(Cê foi embora pra ser o quê?,1,Amor e relações amorosas,0
musica9_trecho1,(Cê foi embora pra ser o quê?,4,"Conhecimento, esperança e expectativa",0
musica9_trecho1,(Cê foi embora pra ser o quê?,5,"Crescimento, consquita e pertencimento",0
musica9_trecho1,(Cê foi embora pra ser o quê?,9,"Despedidas, morte e fragilidade",1
musica9_trecho1,(Cê foi embora pra ser o quê?,7,"Infidelidade, tristeza e sofrimento",1
musica9_trecho1,(Cê foi embora pra ser o quê?,2,"Inspiração, paz e harmonia",0
musica9_trecho1,(Cê foi embora pra ser o quê?,3,"Intimidade, desejo e sedução",0
musica9_trecho1,(Cê foi embora pra ser o quê?,8,Ostentação e consumismo,0
musica9_trecho1,(Cê foi embora pra ser o quê?,6,"Perdas, arrependimento e vulnerabilidade",0
musica10_trecho1,"Respira, não pira",1,Amor e relações amorosas,0
musica10_trecho1,"Respira, não pira",4,"Conhecimento, esperança e expectativa",0
musica10_trecho1,"Respira, não pira",5,"Crescimento, consquita e pertencimento",0
musica10_trecho1,"Respira, não pira",9,"Despedidas, morte e fragilidade",1
musica10_trecho1,"Respira, não pira",7,"Infidelidade, tristeza e sofrimento",0
musica10_trecho1,"Respira, não pira",2,"Inspiração, paz e harmonia",0
musica10_trecho1,"Respira, não pira",3,"Intimidade, desejo e sedução",1
musica10_trecho1,"Respira, não pira",8,Ostentação e consumismo,0
musica10_trecho1,"Respira, não pira",6,"Perdas, arrependimento e vulnerabilidade",0
