iteracao,idx,tag_trecho,titulo,artista,ano,letra,tema,score
1,46,musica100_trecho9,A Maior Saudade,Henrique & Juliano,2021.0,"E a boca que falou te amo, fala que acabou","Despedidas, morte e fragilidade",0.8
1,47,musica100_trecho10,A Maior Saudade,Henrique & Juliano,2021.0,"E o nosso pra sempre, infelizmente, não vingou","Despedidas, morte e fragilidade",0.9
1,48,musica100_trecho11,A Maior Saudade,Henrique & Juliano,2021.0,Apesar de não te comover com o meu sofrimento,"Infidelidade, tristeza e sofrimento",0.9
1,49,musica100_trecho12,A Maior Saudade,Henrique & Juliano,2021.0,Mesmo que sair da sua vida seja um livramento,"Despedidas, morte e fragilidade",0.9
1,50,musica101_trecho1,Jejum de Amor,Gusttavo Lima,2014.0,Não sou de ficar mais de uma semana sem amor,Amor e relações amorosas,0.9
1,51,musica101_trecho2,Jejum de Amor,Gusttavo Lima,2014.0,Eu necessito ter de volta seu calor,"Intimidade, desejo e sedução",0.9
1,52,musica101_trecho3,Jejum de Amor,Gusttavo Lima,2014.0,Sua boca é minha,"Intimidade, desejo e sedução",0.9
1,53,musica101_trecho4,Jejum de Amor,Gusttavo Lima,2014.0,Domina a minha,"Intimidade, desejo e sedução",0.9
1,54,musica101_trecho5,Jejum de Amor,Gusttavo Lima,2014.0,E o que é que as duas estão fazendo tão sozinhas,"Intimidade, desejo e sedução",0.9
1,55,musica101_trecho6,Jejum de Amor,Gusttavo Lima,2014.0,"Ai, ai, ai, boca minha","Intimidade, desejo e sedução",0.9
1,56,musica101_trecho7,Jejum de Amor,Gusttavo Lima,2014.0,"Sem um beijo, sem um corpo, tá difícil","Intimidade, desejo e sedução",0.9
1,57,musica101_trecho8,Jejum de Amor,Gusttavo Lima,2014.0,"Deixa eu te falar, eu vou fazer jejum de amor","Infidelidade, tristeza e sofrimento",0.9
1,58,musica101_trecho9,Jejum de Amor,Gusttavo Lima,2014.0,Pra provar o que eu sinto,Amor e relações amorosas,0.8
1,59,musica101_trecho10,Jejum de Amor,Gusttavo Lima,2014.0,Quer saber?,"Conhecimento, esperança e expectativa",0.9
1,60,musica101_trecho11,Jejum de Amor,Gusttavo Lima,2014.0,Eu tô arrependido,"Despedidas, morte e fragilidade",0.9
1,61,musica101_trecho12,Jejum de Amor,Gusttavo Lima,2014.0,Porque não falei no seu ouvido,"Intimidade, desejo e sedução",0.9
1,62,musica101_trecho13,Jejum de Amor,Gusttavo Lima,2014.0,As frases de amor que não falei em nosso cobertor,Amor e relações amorosas,0.9
1,63,musica101_trecho14,Jejum de Amor,Gusttavo Lima,2014.0,"Sentimento proibido, até parece impossível","Infidelidade, tristeza e sofrimento",0.9
1,64,musica102_trecho1,Carta Aberta,Henrique & Juliano,2023.0,Posso amar outra pessoa,Amor e relações amorosas,0.9
1,65,musica102_trecho2,Carta Aberta,Henrique & Juliano,2023.0,"Não quero mais, eu avisei","Despedidas, morte e fragilidade",0.9
1,66,musica102_trecho3,Carta Aberta,Henrique & Juliano,2023.0,E um dia avisado,"Despedidas, morte e fragilidade",0.9
1,67,musica102_trecho4,Carta Aberta,Henrique & Juliano,2023.0,Não ia adiantar mais,"Despedidas, morte e fragilidade",0.9
1,68,musica102_trecho5,Carta Aberta,Henrique & Juliano,2023.0,Esse dia chegou,"Despedidas, morte e fragilidade",0.9
1,69,musica102_trecho6,Carta Aberta,Henrique & Juliano,2023.0,"Eu tô indo feliz, mas engoli o nó","Despedidas, morte e fragilidade",0.9
1,70,musica102_trecho7,Carta Aberta,Henrique & Juliano,2023.0,"Mesmo assim eu não fico, eu não me preparei","Despedidas, morte e fragilidade",0.9
1,71,musica102_trecho8,Carta Aberta,Henrique & Juliano,2023.0,Pra já parar num beijo só,"Intimidade, desejo e sedução",0.9
1,72,musica102_trecho9,Carta Aberta,Henrique & Juliano,2023.0,Pensar na gente pode,Amor e relações amorosas,0.8
1,73,musica102_trecho10,Carta Aberta,Henrique & Juliano,2023.0,Mas eu não recomendo,"Despedidas, morte e fragilidade",0.9
1,74,musica102_trecho11,Carta Aberta,Henrique & Juliano,2023.0,Talvez eu não mereça essa água escorrendo,"Despedidas, morte e fragilidade",0.9
1,75,musica102_trecho12,Carta Aberta,Henrique & Juliano,2023.0,Que ainda assim eu vou amar você,Amor e relações amorosas,0.9
1,76,musica102_trecho13,Carta Aberta,Henrique & Juliano,2023.0,Eu já consigo ver saudade,"Despedidas, morte e fragilidade",0.9
1,77,musica102_trecho14,Carta Aberta,Henrique & Juliano,2023.0,Na foto que cê vai postar bebendo,"Intimidade, desejo e sedução",0.9
1,78,musica102_trecho15,Carta Aberta,Henrique & Juliano,2023.0,Também vou sentir saudade,"Despedidas, morte e fragilidade",0.9
1,79,musica102_trecho16,Carta Aberta,Henrique & Juliano,2023.0,Vou querer voltar correndo,"Despedidas, morte e fragilidade",0.9
1,80,musica102_trecho17,Carta Aberta,Henrique & Juliano,2023.0,Mas parece que eu não quero nem pensar nesse momento,"Despedidas, morte e fragilidade",0.9
1,81,musica102_trecho18,Carta Aberta,Henrique & Juliano,2023.0,É que eu tô tão grande dentro de mim,"Intimidade, desejo e sedução",0.9
1,82,musica102_trecho19,Carta Aberta,Henrique & Juliano,2023.0,Que o espaço que sobrou não tá te cabendo,"Despedidas, morte e fragilidade",0.9
1,83,musica102_trecho20,Carta Aberta,Henrique & Juliano,2023.0,Lembre-se de mim só até certo ponto,"Despedidas, morte e fragilidade",0.9
1,84,musica102_trecho21,Carta Aberta,Henrique & Juliano,2023.0,Se a lembrança machucar é que passou do ponto,"Despedidas, morte e fragilidade",0.9
1,85,musica102_trecho22,Carta Aberta,Henrique & Juliano,2023.0,Lembre-se da gente só até ser saudável,"Despedidas, morte e fragilidade",0.9
1,86,musica102_trecho23,Carta Aberta,Henrique & Juliano,2023.0,Porque coração tem seus departamentos,Amor e relações amorosas,0.9
1,87,musica102_trecho24,Carta Aberta,Henrique & Juliano,2023.0,Pelo amor de,Amor e relações amorosas,0.9
1,88,musica102_trecho25,Carta Aberta,Henrique & Juliano,2023.0,Deus,"Inspiração, paz e harmonia",0.9
1,89,musica102_trecho26,Carta Aberta,Henrique & Juliano,2023.0,Não deixa qualquer coisa te deixar instável,"Crescimento, consquita e pertencimento",0.9
1,90,musica102_trecho27,Carta Aberta,Henrique & Juliano,2023.0,Não seja frágil,"Despedidas, morte e fragilidade",0.9
1,91,musica102_trecho28,Carta Aberta,Henrique & Juliano,2023.0,"Calma, amor",Amor e relações amorosas,0.9
1,92,musica102_trecho29,Carta Aberta,Henrique & Juliano,2023.0,"Tá tudo certo, amor",Amor e relações amorosas,0.9
1,93,musica102_trecho30,Carta Aberta,Henrique & Juliano,2023.0,Tem como amar e não querer pra si essa manutenção,Amor e relações amorosas,0.9
1,94,musica102_trecho31,Carta Aberta,Henrique & Juliano,2023.0,Da relação de um casal,Amor e relações amorosas,0.9
1,95,musica102_trecho32,Carta Aberta,Henrique & Juliano,2023.0,Tem como ser tesão sem intenção,"Intimidade, desejo e sedução",0.9
1,96,musica102_trecho33,Carta Aberta,Henrique & Juliano,2023.0,"Beijo, coração","Intimidade, desejo e sedução",0.9
1,97,musica102_trecho34,Carta Aberta,Henrique & Juliano,2023.0,E cabe uma pancada de gente dentro,"Despedidas, morte e fragilidade",0.9
1,98,musica102_trecho35,Carta Aberta,Henrique & Juliano,2023.0,Te amo e vê se não fica mal,Amor e relações amorosas,0.9
1,99,musica102_trecho36,Carta Aberta,Henrique & Juliano,2023.0,"Tchau, tchau, tchau, tchau","Despedidas, morte e fragilidade",0.9
1,100,musica102_trecho37,Carta Aberta,Henrique & Juliano,2023.0,Tchau,"Despedidas, morte e fragilidade",0.9
1,101,musica102_trecho38,Carta Aberta,Henrique & Juliano,2023.0,Não me pergunte como,"Despedidas, morte e fragilidade",0.9
1,102,musica102_trecho39,Carta Aberta,Henrique & Juliano,2023.0,Eu sinto que tem como,"Crescimento, consquita e pertencimento",0.9
1,103,musica102_trecho40,Carta Aberta,Henrique & Juliano,2023.0,"Eu sinto que o que eu sinto, isso faz tempo","Conhecimento, esperança e expectativa",0.9
1,104,musica102_trecho41,Carta Aberta,Henrique & Juliano,2023.0,Faz tempo,"Despedidas, morte e fragilidade",0.9
1,105,musica102_trecho42,Carta Aberta,Henrique & Juliano,2023.0,"Eu quis demais, você não quis","Infidelidade, tristeza e sofrimento",0.9
1,106,musica103_trecho1,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Cansei de ficar sozinho,"Despedidas, morte e fragilidade",0.9
1,107,musica103_trecho2,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Sol nascer,"Inspiração, paz e harmonia",0.9
1,108,musica103_trecho3,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Sem ter você do lado,"Despedidas, morte e fragilidade",0.9
1,109,musica103_trecho4,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Hoje eu sei que me dei,"Despedidas, morte e fragilidade",0.9
1,110,musica103_trecho5,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Sempre à pessoa errada,"Infidelidade, tristeza e sofrimento",0.9
1,111,musica103_trecho6,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,"E o amor que ganhei, só eu sei",Amor e relações amorosas,0.9
1,112,musica103_trecho7,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Não valeu nada,"Despedidas, morte e fragilidade",0.9
1,113,musica103_trecho8,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Hoje eu sei que achei,"Crescimento, consquita e pertencimento",0.9
1,114,musica103_trecho9,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Quem eu tanto procurava,Amor e relações amorosas,0.8
1,115,musica103_trecho10,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Meu amor é você,Amor e relações amorosas,0.9
1,116,musica103_trecho11,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Na rua não tem carinho,"Despedidas, morte e fragilidade",0.9
1,117,musica103_trecho12,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Me leva pra casa,"Intimidade, desejo e sedução",0.9
1,118,musica103_trecho13,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Você pra mim foi o,Amor e relações amorosas,0.9
1,119,musica103_trecho14,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Sol,"Intimidade, desejo e sedução",0.9
1,120,musica103_trecho15,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,De uma noite sem fim,"Inspiração, paz e harmonia",0.9
1,121,musica103_trecho16,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Que acendeu o que sou,"Crescimento, consquita e pertencimento",0.9
1,122,musica103_trecho17,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,E renasceu tudo em mim,"Crescimento, consquita e pertencimento",0.9
1,123,musica103_trecho18,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Agora eu sei muito bem,"Crescimento, consquita e pertencimento",0.9
1,124,musica103_trecho19,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Que eu nasci só pra ser,"Crescimento, consquita e pertencimento",0.9
1,125,musica103_trecho20,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,"Sua parceira, meu bem",Amor e relações amorosas,0.9
1,126,musica103_trecho21,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,E só morrer de prazer,"Intimidade, desejo e sedução",0.9
1,127,musica103_trecho22,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,"Uô-uô, me leva pra casa","Intimidade, desejo e sedução",0.9
1,128,musica103_trecho23,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Caso do acaso bem marcado em cartas de tarô,"Conhecimento, esperança e expectativa",0.9
1,129,musica103_trecho25,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,"Meu amor, esse amor de cartas claras sobre a mesa",Amor e relações amorosas,0.9
1,130,musica103_trecho26,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,É assim,"Despedidas, morte e fragilidade",0.9
1,131,musica103_trecho27,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,"Signo do destino, que surpresa ele nos preparou","Despedidas, morte e fragilidade",0.9
1,132,musica103_trecho28,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,"Meu amor, esse amor estava escrito nas estrelas",Amor e relações amorosas,0.9
1,133,musica103_trecho29,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,"Tava, sim","Intimidade, desejo e sedução",0.9
1,134,musica103_trecho30,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Você sempre fez dos meus sonhos,"Conhecimento, esperança e expectativa",0.9
1,135,musica103_trecho31,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Sempre soube dos meus segredos,"Intimidade, desejo e sedução",0.9
1,136,musica103_trecho32,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,No amor sempre fui bandido,"Intimidade, desejo e sedução",0.9
1,137,musica103_trecho33,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Isso já faz muito tempo,"Despedidas, morte e fragilidade",0.9
1,138,musica103_trecho34,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Eu nem me lembro quanto tempo faz,"Despedidas, morte e fragilidade",0.9
1,139,musica103_trecho35,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,O meu coração não sabe contar os dias,Amor e relações amorosas,0.9
1,140,musica103_trecho36,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,E a minha cabeça já está tão vazia,"Despedidas, morte e fragilidade",0.9
1,141,musica103_trecho37,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Mas a primeira vez ainda me lembro bem,Amor e relações amorosas,0.9
1,142,musica103_trecho38,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Talvez eu seja no seu passado mais uma página,"Despedidas, morte e fragilidade",0.9
1,143,musica103_trecho39,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Que foi do seu diário arrancada,"Despedidas, morte e fragilidade",0.9
1,144,musica103_trecho40,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,"Sonho, choro e sinto",Amor e relações amorosas,0.9
1,145,musica103_trecho41,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Que resta alguma esperança,"Conhecimento, esperança e expectativa",0.9
1,146,musica103_trecho42,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,"Saudade, quero arrancar essa página","Despedidas, morte e fragilidade",0.9
1,147,musica103_trecho43,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,E agora estou perdido,"Despedidas, morte e fragilidade",0.9
1,148,musica103_trecho44,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Da minha vida,"Crescimento, consquita e pertencimento",0.9
1,149,musica103_trecho45,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Tive que perder você,"Despedidas, morte e fragilidade",0.9
1,150,musica103_trecho46,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Pra ver que estava errado,"Despedidas, morte e fragilidade",0.9
1,151,musica103_trecho47,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade,Lauana Prado,2023.0,Cansei de ver o,"Despedidas, morte e fragilidade",0.9
1,152,musica104_trecho1,É Amor,Jorge Mateus,2015.0,Quando fico pensando em você,Amor e relações amorosas,0.9
1,153,musica104_trecho2,É Amor,Jorge Mateus,2015.0,Ter você pra amar,Amor e relações amorosas,0.9
1,154,musica104_trecho3,É Amor,Jorge Mateus,2015.0,"Eu quero colo, a vida inteira",Amor e relações amorosas,0.9
1,155,musica104_trecho4,É Amor,Jorge Mateus,2015.0,Vou te amar,Amor e relações amorosas,0.9
1,156,musica104_trecho5,É Amor,Jorge Mateus,2015.0,Eu esqueço do mundo pra te ter,Amor e relações amorosas,0.9
1,157,musica104_trecho6,É Amor,Jorge Mateus,2015.0,"Ô-ô-ô-ô, é amor, ô-ô",Amor e relações amorosas,0.9
1,158,musica104_trecho7,É Amor,Jorge Mateus,2015.0,Seu amor assumiu meu coração,Amor e relações amorosas,0.9
1,159,musica104_trecho8,É Amor,Jorge Mateus,2015.0,Eu não fico um segundo sem te ver,"Intimidade, desejo e sedução",0.9
1,160,musica104_trecho9,É Amor,Jorge Mateus,2015.0,O cupido chamou minha atenção,Amor e relações amorosas,0.8
1,161,musica104_trecho10,É Amor,Jorge Mateus,2015.0,Pra cuidar e investir nessa paixão,Amor e relações amorosas,0.9
1,162,musica104_trecho11,É Amor,Jorge Mateus,2015.0,É amor,Amor e relações amorosas,0.9
1,163,musica104_trecho12,É Amor,Jorge Mateus,2015.0,Só nós dois,Amor e relações amorosas,0.9
1,164,musica104_trecho13,É Amor,Jorge Mateus,2015.0,Vale a pena sonhar,"Conhecimento, esperança e expectativa",0.9
1,165,musica105_trecho1,Todo Sol,Matheus Kauan,nan,"E não me olha assim (não me olha assim)Com cara de quem me ama, de quem dormiu pensando em mim",Amor e relações amorosas,0.9
1,166,musica105_trecho2,Todo Sol,Matheus Kauan,nan,"No caminho, a gente casa","Crescimento, consquita e pertencimento",0.9
1,167,musica105_trecho3,Todo Sol,Matheus Kauan,nan,E deixa o povo ver,"Despedidas, morte e fragilidade",0.9
1,168,musica105_trecho4,Todo Sol,Matheus Kauan,nan,O nosso amor brilhar em todo,Amor e relações amorosas,0.9
1,169,musica105_trecho5,Todo Sol,Matheus Kauan,nan,Sol que amanhecer(O nosso amor brilhar em todo,Amor e relações amorosas,0.9
1,170,musica105_trecho6,Todo Sol,Matheus Kauan,nan,Sol)Você tem que saber que eu não brinco com sentimento,"Infidelidade, tristeza e sofrimento",0.9
1,171,musica105_trecho7,Todo Sol,Matheus Kauan,nan,"Não, não fala assim (não, não fala assim)Com essa voz tão linda e calma que acelera tudo em mim","Intimidade, desejo e sedução",0.9
1,172,musica105_trecho8,Todo Sol,Matheus Kauan,nan,Sol),"Despedidas, morte e fragilidade",0.9
1,173,musica105_trecho9,Todo Sol,Matheus Kauan,nan,Você tem que saber que eu não brinco com sentimento,Amor e relações amorosas,0.8
1,174,musica105_trecho10,Todo Sol,Matheus Kauan,nan,"Quando eu amo, eu amo pra valer, não perco tempo",Amor e relações amorosas,0.9
1,175,musica105_trecho11,Todo Sol,Matheus Kauan,nan,Pense vinte vezes antes de pensar que quer me amar,Amor e relações amorosas,0.9
1,176,musica105_trecho12,Todo Sol,Matheus Kauan,nan,Que quer me amar,Amor e relações amorosas,0.9
1,177,musica105_trecho13,Todo Sol,Matheus Kauan,nan,Se me disser que é pra sempre,Amor e relações amorosas,0.9
1,178,musica105_trecho14,Todo Sol,Matheus Kauan,nan,Esqueço até que o pra sempre sempre acaba,"Despedidas, morte e fragilidade",0.9
1,179,musica105_trecho15,Todo Sol,Matheus Kauan,nan,E te levo pra minha casa,"Intimidade, desejo e sedução",0.9
1,180,musica106_trecho1,CORAÇÃO CIGANO (part. Luísa Sonza),Luan Santana,2022.0,É que eu queria tanto que você ficasse,Amor e relações amorosas,0.9
1,181,musica106_trecho2,CORAÇÃO CIGANO (part. Luísa Sonza),Luan Santana,2022.0,"Segue me enganando, mudando","Infidelidade, tristeza e sofrimento",0.9
1,182,musica106_trecho3,CORAÇÃO CIGANO (part. Luísa Sonza),Luan Santana,2022.0,"De cheiro em cheiro, de beijo em beijo","Intimidade, desejo e sedução",0.9
1,183,musica106_trecho4,CORAÇÃO CIGANO (part. Luísa Sonza),Luan Santana,2022.0,"E aqui no meu olhar morando, oh","Intimidade, desejo e sedução",0.9
1,184,musica106_trecho5,CORAÇÃO CIGANO (part. Luísa Sonza),Luan Santana,2022.0,E aqui no meu olhar morando,"Intimidade, desejo e sedução",0.9
